title,comment,note,comment_filtrer
Karak : Mon premier donjon Crawler,"Petit jeu de mot sur l'extension d'Heroquest qui m'aura bercé dans ma tendre enfance, voici Karak pour la tendre enfance de mes loupiots. Si le jeu est un peu répétitif pour moi, il n'en demeure pas moins vrai que celui à qui il s'adresse véritablement enchaîne les parties, avec d'autres loupiots ou avec les grands parce que ça passe bien quand même. Vivement l'extension pour augmenter cet aspect ""renouvellement des parties"".\nNotons également que Karak a un aspect ""bac à sable"" au sens où il est très facile de s'ajouter quelques éléments, règles, évènements maison pour le ""pimper"", faire évoluer le jeu à sa convenance. Une très très bonne base de découverte des jeux d'explorations de sombres donjons.",8,"Petit mot extension Heroquest aura bercé tendre enfance voici Karak tendre enfance loupiots Si est peu répétitif n' demeure pas moins vrai que adresse véritablement enchaîne parties autres loupiots grands parce que passe bien quand même Vivement extension augmenter aspect renouvellement parties"".\nNotons également que Karak a aspect bac sable sens est très facile ajouter éléments règles évènements maison pimper faire évoluer convenance très très bonne base découverte explorations sombres donjons"
The Faceless,"Le plaisir d'un mécanisme peu exploité (aimants) pour mettre en place une thématique en adéquation : un ""à-peu-près"" qui va bien avec, à la fois l'exploration dans un endroit brumeux où l'on peut se perdre facilement, et en même temps, l'effroi incontrôlable qui amène à ne pas trop savoir où l'on fuit : Le plaisir du déplacement à ""l'aveugle-boussole"", le plaisir de découvrir comment le déplacement de telle ou telle figurine va ""influencer"" le groupe via cette petite aiguille mouvante presque magiquement... \nCertes ce thème, ces illustrations et cette ""originalité"" ne feront certainement pas de ce jeu un ""must have"", mais créativement parlant, ludiquement parlant, je considère que c'est un très chouette OLNI (si, si, vous savez, un Objet Ludique... voilà !)",8,plaisir mécanisme peu exploité aimants mettre place thématique adéquation à-peu-près va bien fois exploration endroit brumeux peut perdre facilement même temps effroi incontrôlable amène ne pas trop savoir où fuit plaisir déplacement aveugle - boussole plaisir découvrir comment déplacement telle telle figurine va influencer groupe petite aiguille mouvante presque magiquement \nCertes thème illustrations originalité ne feront certainement pas must have créativement parlant ludiquement parlant considère que est très chouette OLNI si si savez Objet Ludique voilà
Le Gant d'infinité : Un jeu Love Letter,"Edition (Univers, Direction artistique, Matériel) 5/5 \nRègles (Clarté, Ergonomie, Complexité) 3/5 \nRejouabilité (Mécanique, Profondeur, Efficacité) 4/5 \nRenouvellement (Répétitif, Sensation, Durée) 3/5 \n \nL'édition de cette version de Love Letter qui n'est pas de son auteur (mais avec sa bénédiction, bien sûr) est au poil. \nPar contre, il faut, pour un des représentants du ""game design minimaliste"" passer le cap des règles, un poil longuettes pour ce qu'elles expliquent (et Love Letter était déjà comme ça). \nL'envie de rejouer, de réussir à déjouer les plans de Thanos fonctionnent bien et il est fort rare que les joueurs se contentent d'une seule partie. \nÉtonnamment, cette version du jeu est, en perdant l'épure du jeu de base, un peu répétitif . Préférez finalement le 3 à 5 joueurs, le 6 est un peu longuet. Et là où Love Letter proposait une fin de partie aux points (et ici, aux poings... :D) gardant, malgré les éliminations rapides, un enjeu tout du long, ici, les amateurs de la licence et/ou les amateurs de Love Letter découvriront avec plaisir une sorte d'exercice de style avec la déclinaison asymétrique ""héros vs Thanos"".\nUne bonne version donc, mais qui pourtant, ramène à l'ingéniosité de la première version, le Love Letter classique, d'autant plus avec la dernière version qui permet d'y jouer jusqu'à 6 en gardant son rythme parfaitement fonctionnel.",7,"Edition Univers Direction artistique Matériel 5/5 \nRègles Clarté Ergonomie Complexité 3/5 \nRejouabilité Mécanique Profondeur Efficacité \nRenouvellement Répétitif Sensation Durée \n \nL' édition version Love Letter n' est pas auteur bénédiction bien sûr est poil \nPar faut représentants game design minimaliste passer cap règles poil longuettes expliquent Love Letter était déjà \nL' envie rejouer réussir déjouer plans Thanos fonctionnent bien est fort rare que joueurs contentent seule partie \nÉtonnamment version est perdant épure base peu répétitif Préférez finalement 3 5 joueurs est peu longuet là Love Letter proposait fin partie points ici poings :D gardant éliminations rapides enjeu tout long ici amateurs licence / amateurs Love Letter découvriront plaisir sorte exercice style déclinaison asymétrique héros vs Thanos"".\nUne bonne version donc pourtant ramène ingéniosité première version Love Letter classique autant plus dernière version permet jouer gardant rythme parfaitement fonctionnel"
ATLANTES,"Avec un jeu agréable et dynamique (attention au léger syndrôme ""d'analyse paralysante"" chez certains joueurs, il n'y a quand même pas de quoi y passer des heures), la mécanique de jeu par ""étapes à franchir"" pour moduler ses ressources et possibilités par le truchement de cartes qu'on ""remonte"" au fur et à mesure dans le plateau bien pensé, et assez thématique, finalement, se marie fort bien avec un jeu de gestion d'action via une main de carte au soupçon de deckbuilding (soupçon puisque ce n'est pas là du tout le centre du jeu puisqu'il est, hypothétiquement au moins, possible de jouer sans jamais faire remonter son paquet de cartes en main). L'ensemble est rafraichissante, comme les eaux profondes où nous vivrons l'aventures et les raies ajoutent la touche matérielle pour ""s'immerger"" (facile, celle-là :) ) encore plus. \nLes pions objectifs amènent un renouvellement bienvenu pour une analyse et une temporalité de jeu différentes (l'aspect ""course aux objectifs"") qui permettra de ré-ouvrir la boite pour de nouvelles parties. \nEncore un bon choix de localisation de Gigamic",8,agréable dynamique attention léger syndrôme analyse paralysante joueurs n' a quand même pas passer heures mécanique étapes franchir moduler ressources possibilités truchement cartes remonte fur mesure plateau bien pensé assez thématique finalement marie fort bien gestion action main carte soupçon deckbuilding soupçon puisque n' est pas là tout centre puisqu' est hypothétiquement moins possible jouer jamais faire remonter paquet cartes main ensemble est rafraichissante eaux profondes vivrons aventures raies ajoutent touche matérielle immerger facile -là :) encore plus \nLes pions objectifs amènent renouvellement bienvenu analyse temporalité différentes aspect course objectifs permettra ré-ouvrir boite nouvelles parties \nEncore bon choix localisation Gigamic
Top Ten,"Ah le plaisir humain de ranger en classant du plus caca au moins licorne... ou l'inverse en mélangé. Des situations étonnantes donnant lieu à des interprétations individuelles qui le sont tout autant pour ensuite juger et rigoler à retrouver l'ordre du plus au moins des idées de chacun. Qu'il y ait discussions et/ou explications au pourquoi du comment ensuite, il y a eu des moments cocasses, et ce, pratiquement à toutes les parties. Un vrai bon moment d'échanges ! Top !",9,Ah plaisir humain ranger classant plus caca moins licorne inverse mélangé situations étonnantes donnant lieu interprétations individuelles sont tout autant ensuite juger rigoler retrouver ordre plus moins idées ait discussions / explications pourquoi comment ensuite a eu moments cocasses pratiquement toutes parties vrai bon moment échanges Top
Daimyo - La Renaissance de l'Empire,"Retrouvez un eurogame à interaction directe et forte avec ce Daimyo. \nS'il n'offre pas particulièrement d'originalité dans une mécanique ou l'autre, c'est dans l'appropriation de l'ensemble des mécanismes présentes que Daimyo développe son originalité. Plaisir donc de combos par ses cartes Héros ainsi que par le ""développement"" de son plateau via les actions bonus débloqués et positionnés à sa convenance, plaisir d'une interaction forte autour des batailles de majorité d'influence sur les différentes îles avec les coups pendards possibles... \nNotons cependant un effet ""Campagne de financement participative"" et donc un développement matériel étonnant. Les plateaux de la boite de base sont très (trop) légers et le set de plateaux, difficilement trouvable à part, apparaitrait vite comme nécessaire pour le confort de jeu ; Et à l'inverse, les figurines sont à playtester en fonction de vos goûts. En effet, le plateau et son illustrations, chouette, reste chargé et y ajouter les figurines (pions de luxe en fait) peut nuire à la lisibilité de l'ensemble suivant ce qui vous est important pour ""l'immersion""... mais qui double le prix d'un jeu qui n'est pas un ""ameritrash"" malgré tout. \nNe boudons pas notre plaisir en terme ludique et retournons affronter les gouverneurs adverses en construisant techno-fermes et autres radar-dômes tout en évitant les ninjas de l'ombre et rassemblant les artefacts de notre civilisation ante-apocalypse !",8,Retrouvez eurogame interaction directe forte Daimyo \nS' n' offre pas particulièrement originalité mécanique est appropriation ensemble mécanismes présentes Daimyo développe originalité Plaisir donc combos cartes Héros ainsi que développement plateau actions bonus débloqués positionnés convenance plaisir interaction forte autour batailles majorité influence différentes îles coups pendards possibles \nNotons cependant effet Campagne financement participative donc développement matériel étonnant plateaux boite base sont très trop légers set plateaux difficilement trouvable part apparaitrait vite nécessaire confort inverse figurines sont playtester fonction goûts effet plateau illustrations chouette reste chargé ajouter figurines pions luxe fait peut nuire lisibilité ensemble suivant est important immersion double prix n' est pas ameritrash \nNe boudons pas plaisir terme ludique retournons affronter gouverneurs adverses construisant techno - fermes autres radar - dômes tout évitant ninjas ombre rassemblant artefacts civilisation ante - apocalypse
Saint Seiya : Deckbuilding,,7,
Adventure Games - Le Donjon,"C'est un peu comme une série quelque part. Nous sommes accrochés une fois l'histoire lancée et nous avons envie d'aller au bout. L'avantage ici, c'est que l'horloge ne joue pas vraiment. Du coup, on peut se faire plaisir à tout tenter, tout essayer. Ça, c'est l'aspect plaisant ! L'aspect ""paragraphe"" à lire renforce aussi l'histoire, sans que ça ne soit de la grande littérature. Mais il n'y a pas, lorsque l'on est rôliste (amateur de jeu de rôle), l'exigence est trop haute :) \nCe qu'il faut donc retenir, c'est que pour le prix, et si on veut un peu d'aventures, un peu d'énigmes, un peu d'exploration, il y a de quoi vivre un bon moment partagé en se mettant un peu dans la peau de personnages, pour découvrir ce qu'on va pouvoir faire... et ensuite ce qu'on aurait pu faire :)",6,est peu série quelque part sommes accrochés fois histoire lancée avons envie aller bout avantage ici est que horloge ne joue pas vraiment coup peut faire plaisir tout tenter tout essayer Ça est aspect plaisant aspect paragraphe lire renforce aussi histoire que ne soit grande littérature n' a pas lorsque est rôliste amateur rôle exigence est trop haute :) \nCe qu' faut donc retenir est que prix si veut peu aventures peu énigmes peu exploration a vivre bon moment partagé mettant peu peau personnages découvrir va pouvoir faire ensuite aurait pu faire :)
Cartographers,"Le plaisir d'un draw & write qui voit son thème en adéquation avec son propos. Je suis un cartographe et je dessine une carte. Qui plus est, dans une ambiance ""rôlistique"" med-fan, ce qui n'est jamais pour déplaire au rôliste que je suis. Et comme en plus, ""sans le faire exprès"", on me demande d'être méchant avec les voisins en pourrissant leur carte d'embuscades, ça se paye même le luxe d'être rigolo pour ça.\nJ'aime bien !",7,plaisir draw write voit thème adéquation propos suis cartographe dessine carte plus est ambiance rôlistique med - fan n' est jamais déplaire rôliste que suis plus faire exprès demande être méchant voisins pourrissant carte embuscades paye même luxe être rigolo ça.\nJ' aime bien
Association 10 dés,"Que voulez-vous, que ce soit grâce à Marie-Ange ou pas, mais j'aimais Pyramide. Et retrouver un peu ce sentiment, même si, ici, c'est moins le ""jeu de piste"" que véritablement ""l'association d'idées"" qui est premier, c'est top. Immédiat et infini, Association 10 dés permet cette ambiance bon enfant où nous essayons d'entrer dans la tête des uns et des autres, avec des découvertes aux yeux en mode ""illuminés"" en comprenant comment le chemin s'est fait dans la tête de vos partenaires sur tel ou tel mot. \nEt puis, pouvoir renouveler le plaisir de jeu avec un mode ou l'autre, c'est aussi agréable parce que ça donne deux ambiances aux jeux différentes. \nBref, un fort bon jeu d'animations et d'équipes",8,voulez -vous que soit grâce Marie-Ange pas aimais Pyramide retrouver peu sentiment même si ici est moins piste véritablement association idées est premier est top Immédiat infini Association 10 dés permet ambiance bon enfant essayons entrer tête uns autres découvertes yeux mode illuminés comprenant comment chemin est fait tête partenaires tel tel mot \nEt pouvoir renouveler plaisir mode est aussi agréable parce que donne deux ambiances différentes \nBref fort bon animations équipes
Taco Chat Bouc Cheese Pizza,"Non, ce n'est pas un souci de carte bleue au rabais... C'est Taco Chat Bouc Cheese Pizza ! Et dans le genre des jeux d'ambiance sur lesquels il y a de la rapidité, des petits défis à connaître... et reconnaître donc rapidement, ce dernier se pose bien là ! Et ce refrain ""Taco Chat Bouc Cheese Pizza"" qui vient rendre confus...  \nEt bien, c'est ce qui marche ! C'est à qui se trompera, pour de multiples raisons, avec une tête confuse de ""je n'ai pas compris ce que je n'ai pas bien fait"" ou ""bon sang, c'était pas encore ça !"", ce qui est toujours drôle !\nAlors, en fonction de vos goûts, si vous êtes un indécrottable ""sérieux"", ça pourrait ne pas être pour vous ! Mais sinon,  ça peut être une vraie bonne partie de temps en temps pour le plaisir de retrouver cette ambiance sans la gâcher en usant trop la corde à répétition ! Un bon moment de rigolades !",8,Non n' est pas souci carte bleue rabais est Taco Chat Bouc Cheese Pizza genre ambiance a rapidité petits défis connaître reconnaître donc rapidement dernier pose bien là refrain Taco Chat Bouc Cheese Pizza vient rendre confus   \nEt bien est marche est trompera multiples raisons tête confuse n' ai pas compris n' ai pas bien fait bon sang était pas encore est toujours drôle \nAlors fonction goûts si êtes indécrottable sérieux pourrait ne pas être sinon   peut être vraie bonne partie temps temps plaisir retrouver ambiance gâcher usant trop corde répétition bon moment rigolades
Mare Nostrum,"Et non, l'avis, quoiqu'en dise le titre, n'est pas négatif... absolument pas!!Le jeu est beau, les règles qu'on discute sont simples... (une fois comprise lol), les parties, longues peut-être, mais toujours motivantes, déchaînées, à couteau tiré... rien d'impassible!!Tout ça est très ludique quoi qu'on en dise, même si justement il y a beaucoup à en dire.Je rejoins Monsieur Phal dans sa manière de voir les choses... Il y a des choses à dire, des ""trucs"" qu'on voudrait voir améliorer, et pourtant, ça n'enlève rien de rien, j'y joue encore, j'y joue toujours, et avec plaisir... le plaisir de manipuler le matériel, de tenter de feinter le jeu, d'explorer une nouvelle voie, de se lancer et de combattre, et tant pis pour les dés...Non, quoiqu'il en soit, j'y joue, et avec plaisir... donc c'est un bon jeu, non?!? cqfd... oui, mais................. ;-)",8,non avis quoiqu' dise titre n' est pas négatif absolument pas!!Le est beau règles discute sont simples fois comprise lol parties longues peut-être toujours motivantes déchaînées couteau tiré impassible!!Tout est très ludique dise même si justement a beaucoup dire rejoins Monsieur Phal manière voir choses a choses dire trucs voudrait voir améliorer pourtant n' enlève joue encore joue toujours plaisir plaisir manipuler matériel tenter feinter explorer nouvelle voie lancer combattre tant pis dés Non quoiqu' joue plaisir donc est bon non cqfd oui ;-)
10' to kill,"Et hop, les contrats sont dans la poche, il va falloir mettre en place le professionnel et ses cibles... là où les autres, qui ne savent rien encore, en font de même. Parfois une fenêtre s'ouvre et il faut en profiter pour dégainer... parfois, le mouvement effectuer sera le mouvement de trop, à découvert, et l'étau de la police se resserre... quand ce ne sont pas vos propres collègues qui tentent de vous expédier !\nUn jeu où ce qui se passe autour de la table, en regards, commentaires et autres, fait autant, pour le sel du jeu, que ce qui se passe en mouvement, déduction et autres ""effaçages"" crapuleux sur le plateau. \nUn coup de coeur !",8,hop contrats sont poche va falloir mettre place professionnel cibles là autres ne savent encore font même Parfois fenêtre ouvre faut profiter dégainer parfois mouvement effectuer sera mouvement trop découvert étau police resserre quand ne sont pas propres collègues tentent expédier \nUn passe autour table regards commentaires autres fait autant sel que passe mouvement déduction autres effaçages plateau \nUn coup coeur
BattleLore Seconde Édition,"... mais jamais ne faiblira car toujours là je serai pour ce jeu aux potentiels infinis (ou presque) et tous aussi enthousiasmant les uns que les autres...Du très bon matériel (avec la technique de l'eau chaude, tout devient encore plus beau et plus droit), des règles qui en donnent beaucoups et qui en promettent encore plus, des créatures, des conseils de guerres, des tuiles qu'on rêvent de voir, d'autres qu'on a qu'on rêve de mettre en 3D...Non, ce jeu, c'est du rêve, de l'amusement puissance dix en boîte... et j'attends mars sans impatience pour les prochaines extensions car jusque là, j'ai déjà largement de quoi faire dans une boite qui peut se suffire à elle-même pour les plus récalcitrant...que du bonheur!!",10,jamais ne faiblira toujours là serai potentiels infinis presque tous aussi enthousiasmant uns que autres très bon matériel technique eau chaude devient encore plus beau plus droit règles donnent beaucoups promettent encore plus créatures conseils guerres tuiles rêvent voir autres a qu' rêve mettre 3D Non est rêve amusement puissance dix boîte attends mars impatience prochaines extensions jusque là ai déjà largement faire boite peut suffire plus récalcitrant que bonheur
Splendor,,8,
Colossus Arena,"Très intéressant, ce jeu de pli...On soutient son poulain(son combattant, quoi!!), on choisit si on attend un peu avant de sortir un crasse ou pas, on se regarde et on se jauge... on s'en veut d'une ultime pose d'un joueur qui ruine tout, mais on demande une deuxième partie pour se refaire... comme dans tous bons jeux de paris...Le thème est sympa et le fait de tirer les combattants au hasard ou pas donne du renouvellement (relativement) au jeu.Juste une petite chose : à cinq joueur, on va rarement au bout, car la pioche s'épuise vite... cependant, il est parfois tactique de ne pas trop piocher pour justement continuer... ah làlà, ces choix...",8,Très intéressant pli soutient poulain(son combattant choisit si attend peu sortir crasse pas regarde jauge veut ultime pose joueur ruine tout demande deuxième partie refaire bons paris thème est sympa fait tirer combattants hasard pas donne renouvellement relativement Juste petite chose cinq joueur va rarement bout pioche épuise vite cependant est parfois tactique ne pas trop piocher justement continuer ah làlà choix
Ginkgopolis,"Les intrications mécaniques de Ginkgopolis sont aux petits oignons. Il faut un vrai apprentissage pour les maîtriser, certes, ce en quoi il a une certaine exigences par rapport à des jeux plus immédiats mais en échange, vous y trouverez une profondeur que ces jeux récents n'ont plus forcément. \nA vous donc de maîtriser le jeu des cartes pour construire les bâtiments au juste prix et surtout au juste endroit afin de maximiser vos quartiers mais aussi ce qu'ils vous rapporteront, à la fois en terme de ressources mais aussi en terme de ""combos"" de capacités. \nPour autant, ne laissez surtout pas vos adversaires sans surveillance pour ne pas non plus laisser passer la carte qui leurs permettrait de vous ""exploser"" au score. Cette interaction, quasiment directe, est assez remarquable dans ce style de jeu.\nUne ré-édition qui permettra donc de découvrir ou re-découvrir ce jeu qui, bien que d'une apparence un peu sèche, cache un étonnant cocktail ludique ! \nA essayer absolument lorsqu'on est fan d'eurogame",7,intrications mécaniques Ginkgopolis sont petits oignons faut vrai apprentissage maîtriser certes a certaine exigences rapport plus immédiats échange trouverez profondeur que récents n' ont plus forcément \nA donc maîtriser cartes construire bâtiments juste prix surtout juste endroit afin maximiser quartiers aussi rapporteront fois terme ressources aussi terme combos capacités autant ne laissez surtout pas adversaires surveillance ne pas non plus laisser passer carte permettrait exploser score interaction quasiment directe est assez remarquable style jeu.\nUne ré-édition permettra donc découvrir re-découvrir bien que apparence peu sèche cache étonnant cocktail ludique essayer absolument lorsqu' est fan eurogame
La Crypte de la Créature,"Non, c'est vrai quoi, ça fait pas peur, mais il y a vraiment risque de mourrir... de rire...Les bons coups se préparent pendant que les autres jouent (sauf si on joue en simultanée), on applaudit bien fort quand la créature fait ce qu'on avait pensé (et ça arrive pas forcément à chaque fois...) on aide les autres à trouver un bon truc pour protéger ses joueurs, ce qui entraîne basse vengeance et alliance à trahir... dés que l'ambiance s'installe, et que les joueurs réfléchissent sans tomber dans l'outrance, on passe un très bon moment...Je ne regrette pas mon achat, et même, je le conseille!!!",8,Non est vrai fait pas peur a vraiment risque mourrir rire bons coups préparent que autres jouent si joue simultanée applaudit bien fort quand créature fait avait pensé arrive pas forcément fois aide autres trouver bon truc protéger joueurs entraîne basse vengeance alliance trahir dés que ambiance installe que joueurs réfléchissent tomber outrance passe très bon moment ne regrette pas achat même conseille
Bang!,"ça, c'est du bon jeu... et avec les copains rôlistes, et les copines de rôlistes... jusqu'au fête de famille, il a toujours mis de l'ambiance à l'égal des Loups-Garous de Thiercelieux, en moins nombreux possible.Pour peu qu'on pousse un peu tout le monde et hop, les bonnes répliques fusent aussi vite que les coups de feu, les mains partent en forme de six-coups, les regards se croisent, on réfléchit à qui est qui (rien à voir avec l'émission...) et on se plait à jouer une autre partie dés que la première est finie.Alors soit, il arrive que le premier éliminé s'ennuye si le reste de la partie s'éternise... voir même que le premier soit éliminé sans avoir pu jouer (deux bang et une dynamite... pas de bol, quoi!!!) mais bon, ça permet à quelqu'un d'endosser le rôle du tenancier du saloon... ""hep, patron!!... un lait-fraise!!""",8,est bon copains rôlistes copines rôlistes fête famille a toujours mis ambiance égal Loups - Garous Thiercelieux moins nombreux possible peu qu' pousse peu tout monde hop bonnes répliques fusent aussi vite que coups feu mains partent forme six - coups regards croisent réfléchit est voir émission plait jouer autre partie dés première est finie Alors arrive que premier éliminé ennuye si reste partie éternise voir même que premier soit éliminé avoir pu jouer deux bang dynamite pas bol bon permet endosser rôle tenancier saloon hep patron lait - fraise
Bang! : Dodge City,"l'extension de Wanted m'a bien plus... j'dirai même que les persos de l'extension ont parfois plus de relief que ceux du jeu de bases.Les cartes vertes qui ne se déclenchent qu'après avoir patienté un tour sont sympathiques à mettre en jeu, car ça rapproche du coup de poker... bien sûr, ça peut avoir pour conséquence de rallonger la durée d'une partie, mais n'oublions pas que c'est un jeu d'ambiance très sympathique, et qu'à ce titre, il ne faut pas se prendre la tête (ça veut pas dire qu'il ne faut pas réfléchir un brin, attention... lol) et se la jouer ""rôle"" plutôt que ""tête"".Non, en définitive, une bonne extension, un poil chère peut-être...",8,"extension Wanted a bien plus dirai même que persos extension ont parfois plus relief que bases cartes vertes ne déclenchent qu' avoir patienté tour sont sympathiques mettre rapproche coup poker bien sûr peut avoir conséquence rallonger durée partie n' oublions pas que est ambiance très sympathique qu' titre ne faut pas prendre tête veut pas dire qu' ne faut pas réfléchir brin attention lol jouer rôle plutôt que tête"" Non définitive bonne extension poil chère peut-être"
Pandémie,"Oui, ce jeu coopératif, ""boite témoin"" du genre, laisse la place au ""joueur alpha"" (mais le ""joueur alpha"" est un mauvais joueur, il n'a qu'à fermer sa mouille pour respecter le plaisir des autres joueurs), oui, il reste un peu madeleine proustienne pour moi mais peu importe. J'apprécie la montée en puissance du jeu, j'apprécie les plans A, B, C, D au cas où et c'est la carte improbable qui sort et qui fait monter l'adrénaline, j'apprécie l'inéluctabilité de certaines parties... Parce que, toujours, à la fin, je peux raconter une sacrée histoire de la partie ! Et ça, c'est le top pour moi !",9,Oui coopératif boite témoin genre laisse place joueur alpha joueur alpha est mauvais joueur n' a qu' fermer mouille respecter plaisir autres joueurs oui reste peu madeleine proustienne peu importe apprécie montée puissance apprécie plans A B C D cas est carte improbable sort fait monter adrénaline apprécie inéluctabilité parties Parce que toujours fin peux raconter sacrée histoire partie est top
Epic BattleLore : Batailles épiques,"En effet, c'est un bonheur pour moi d'avoir de la place, de manoeuvrer avec des armées plus grandes, de pouvoir jouer plus longtemps...Bon, je pourrais jouer sans, bien sûr, car justement, maintenant, le jeu est modulable à souhait en fonction du temps, du niveau, etc... voulu!!",10,effet est bonheur avoir place manoeuvrer armées plus grandes pouvoir jouer plus longtemps Bon pourrais jouer bien sûr justement maintenant est modulable souhait fonction temps niveau etc voulu
